order_uid	previous_order_status	transition_name	new_order_status	user_role	date_time	comment
5abe3bce-ad41-46ab-ae8b-4ab58c3302a7	delivered	refuse	refused	customer	2016-11-28 00:00:00	refusal
5abe3bce-ad41-46ab-ae8b-4ab58c3302a7	refused	require_revision	in_qa	pm		send_back_to_qa
5abe3bce-ad41-46ab-ae8b-4ab58c3302a7	in_qa	deliver	delivered	qa	2017-01-19 16:11:00	deliver_add._transition
5ba464cc-61e1-4146-8a2c-f8e6539b53a8	in_qa	deliver	delivered	qa	2016-12-22 12:15:00	first delivery
5ba464cc-61e1-4146-8a2c-f8e6539b53a8	delivered	refuse	refused	customer	2016-12-28 04:11:00	refusal
5ba464cc-61e1-4146-8a2c-f8e6539b53a8	refused	require_revision	in_qa	pm		send_back_to_qa
5ba464cc-61e1-4146-8a2c-f8e6539b53a8	in_qa	deliver	delivered	qa	2017-02-08 16:53:00	deliver_add._transition
5e0e6022-2a22-4302-8e7a-acb9330c439f	in_qa	deliver	delivered	qa	2016-10-24 10:54:00	first delivery
5e0e6022-2a22-4302-8e7a-acb9330c439f	delivered	refuse	refused	customer	2016-11-30 05:10:00	refusal
5e0e6022-2a22-4302-8e7a-acb9330c439f	refused	require_revision	in_qa	pm		send_back_to_qa
5e2a3a5f-1da9-4fba-83d7-fdc013b620e6	in_qa	deliver	delivered	qa	2016-11-14 10:34:00	first delivery
5e2a3a5f-1da9-4fba-83d7-fdc013b620e6	delivered	refuse	refused	customer	2016-12-07 08:45:00	refusal
5e2a3a5f-1da9-4fba-83d7-fdc013b620e6	refused	require_revision	in_qa	pm		send_back_to_qa
5e2a3a5f-1da9-4fba-83d7-fdc013b620e6	in_qa	deliver	delivered	qa	2017-01-04 13:14:00	deliver_add._transition
5e4eac03-2e3a-4182-81a7-ec0dad4f71c2	in_qa	deliver	delivered	qa	2017-01-12 09:49:00	first delivery
5e4eac03-2e3a-4182-81a7-ec0dad4f71c2	delivered	refuse	refused	customer	2017-01-31 11:37:00	refusal
5e4eac03-2e3a-4182-81a7-ec0dad4f71c2	refused	require_revision	in_qa	pm		send_back_to_qa
5e4eac03-2e3a-4182-81a7-ec0dad4f71c2	in_qa	deliver	delivered	qa	2017-02-08 15:49:00	deliver_add._transition
5eaebd02-6546-49d0-b627-5e5e3e85887d	in_qa	deliver	delivered	qa	2016-11-10 13:22:00	first delivery
5eaebd02-6546-49d0-b627-5e5e3e85887d	delivered	refuse	refused	customer	2016-11-28 09:55:00	refusal
5eaebd02-6546-49d0-b627-5e5e3e85887d	refused	require_revision	in_qa	pm	2017-02-10 16:14:00	send_back_to_qa
68fa122b-f0ee-4d0f-ac81-98d8e6610565	in_qa	deliver	delivered	qa	2016-11-14 14:16:00	first delivery
68fa122b-f0ee-4d0f-ac81-98d8e6610565	delivered	refuse	refused	customer	2016-12-08 12:38:00	refusal
