project	customer_id	delivery	folder_name	images
Agoda Bali	161722	https://drive.google.com/drive/folders/0B2QYuPa8WdDsLTFVdXQ3NWxXb0k	161722	61
Agoda Bali	161784	https://drive.google.com/drive/folders/0B1H-4CqQJz7adThubkVmTFVMdW8	161784	55
Agoda Bali	161870	https://drive.google.com/drive/folders/0BwrdIL719n7waFdqNUhWYjdJUmM	161870	36
Agoda Bali	165208	https://drive.google.com/drive/folders/0BzVECRdNByQAajFtTjVrcEZxczA	165208	53
Agoda Bali	165252	https://drive.google.com/drive/folders/0BzVECRdNByQAQTlIX0hhWGhOX3M	165252	66
Agoda Bali	165267	https://drive.google.com/drive/folders/0B2QYuPa8WdDsN1BIQXJfVnZRYVU	165267	89
Agoda Bali	165313	https://drive.google.com/drive/folders/0B1H-4CqQJz7aOXQyU1pHVURuNzQ	165313	79
Agoda Bali	165465	https://drive.google.com/drive/folders/0B6I0mAjGkrndRVk0emJfMDIxdW8	originals	70
Agoda Bali	165520	https://drive.google.com/drive/folders/0BzVECRdNByQASHlmdzZsYTdPa00	165520	66
Agoda Bali	165653	https://drive.google.com/drive/folders/0B2QYuPa8WdDseXdYUlpOU0l5RUU	165653	60
Agoda Bali	165679	https://drive.google.com/drive/folders/0BwrdIL719n7wUmxnMWhoLUxnSjA	165679	43
Agoda Bali	168895	https://drive.google.com/drive/folders/0B2QYuPa8WdDsZ09WVW85S0dneTQ	168895	55
Agoda Bali	168954	https://drive.google.com/drive/folders/0B1H-4CqQJz7aVEdiZWgtYmlrX3M	168954	54
Agoda Bali	168991	https://drive.google.com/drive/folders/0B1H-4CqQJz7aekFrbEhNTmV6N3M	168991	51
Agoda Bali	169062	https://drive.google.com/drive/folders/0BwrdIL719n7weVJNR1BIeDFXd28	169062	51
Agoda Bali	169762	https://drive.google.com/drive/folders/0B6I0mAjGkrndNVM1dElfTENlaVk	originals	66
Agoda Bali	172338	https://drive.google.com/drive/folders/0BzVECRdNByQAUXJRQzR0elZLOUk	172338	49
Agoda Bali	174405	https://drive.google.com/drive/folders/0B2QYuPa8WdDsUFl1QVFWMXhwUm8	174405	66
Agoda Bali	176369	https://drive.google.com/drive/folders/0BwrdIL719n7wX2RHWnJvN0diSXM	176369	70
Agoda Bali	176841	https://drive.google.com/drive/folders/0B6I0mAjGkrndblJWWTBwaUwySm8	originals	78
