hotel_id	hotel_name	country_name	hotel_address	postal_code	city_name	area_name	hotel_latitude	hotel_longitude	import
400694	P.S 2 Resort	Thailand	21 Rath-U-Thit Road,Kathu  	83150	Phuket	Patong	7,904753685	98,30114746	18/11/16
400802	Royal Prince Residence	Thailand	66/38 Wirakit Patong Beach  	83150	Phuket	Patong	7,891109467	98,30314636	18/11/16
400974	Thana Patong Guesthouse	Thailand	149/7-8 Nanai Rd  	83150	Phuket	Patong	7,885699908	98,30275923	18/11/16
401088	Natalie Resort	Thailand	120/5 Khoktanod Road, T. Karon, A. Muang  	83100	Phuket	Kata	7,816296577	98,30210114	18/11/16
406771	I Am Residence	Thailand	247-249 Nanai Road, Tambon Patong  	83150	Phuket	Patong	7,880877207	98,29694651	18/11/16
406810	Baan Phu Chalong	Thailand	19/18 moo 4  	83130	Phuket	Chalong	7,84672481	98,34486321	18/11/16
406848	Dive Den Guesthouse	Thailand	74/33 , soi nanai road, patong ,phuket.  	83150	Phuket	Patong	7,890514172	98,30218792	18/11/16
406892	Palm Garden Resort	Thailand	Viset Road, Chalong, Phuket, Phuket, Thailand	83130	Phuket	Chalong	7,818996429	98,34143066	18/11/16
406895	Presley Guesthouse	Thailand	74/7 soi baanzan  	83150	Phuket	Patong	7,890090999	98,30388575	18/11/16
406909	Sino Imperial Phuket Hotel	Thailand	51 Phuket Rd., Taladyai  	83000	Phuket	Phuket Town	7,882737431	98,39109016	18/11/16
407145	Mam Hostel	Thailand	37/6 Rat-U-Thid 200 pee  	83150	Phuket	Patong	7,902074337	98,30088806	18/11/16
407296	Casa Del M Resort	Thailand	14/8 Soi Prabaramee 3, Prabaramee Rd., Kathu  	83150	Phuket	Patong	7,904886723	98,30706024	18/11/16
407882	Power Inn Hotel	Thailand	182/2-3 Pang-Muang, Soi Kor Road, Patong Beach, Kathu  	83150	Phuket	Patong	7,887998072	98,30005288	18/11/16
407973	Tuana Patong Holiday Hotel	Thailand	87/1-4 Sai Kor Road  	83150	Phuket	Patong	7,887361	98,299361	18/11/16
407990	The Artist House	Thailand	86/36 Prabaramee Road  	83150	Phuket	Patong	7,903173333	98,30727708	18/11/16
